750,2010,4858,6172,7095,4238,907,165,43,54,93,134
146,270,621,1096,2271,2537,1081,288,118,149,594,1183
1960,4699,9635,9573,6605,2697,601,139,50,55,71,131
133,168,431,652,1414,1317,422,95,47,45,86,205
508,1576,4357,6630,6813,5182,1975,358,67,136,333,555
1426,4054,7376,8792,8247,4738,1143,213,87,99,154,219
235,365,1075,2253,3546,3058,880,247,84,90,136,122
519,1585,5713,10018,8634,6253,1231,239,75,56,110,171
224,219,361,517,969,738,274,110,36,54,60,91
90,207,268,533,1365,1906,1269,307,151,354,1050,2996
6336,13226,25826,22741,8195,2527,436,100,63,67,55,74
137,169,233,404,557,387,127,60,34,45,49,59
232,877,2174,3855,5724,5760,1759,453,142,300,676,1675
2567,5242,8498,5458,2779,1151,182,63,21,26,30,31
60,82,171,207,221,358,194,68,18,79,181,231
809,2022,5014,6597,4759,2191,596,107,68,56,75,114
254,379,669,1141,1682,1613,854,202,88,174,234,625
1709,3319,6807,6909,5481,3548,802,159,64,32,47,83
169,390,629,693,1008,960,454,234,133,100,214,483
1055,1930,3776,4777,5428,3440,1012,232,73,89,90,88
282,381,549,1079,1915,1770,948,380,184,246,515,1360
3707,6441,8616,7754,4945,2288,478,75,40,68,57,146
224,246,334,518,645,600,522,215,164,209,318,1122
2443,4876,10154,10720,6136,4699,1335,249,63,59,115,188
364,603,1305,1853,1865,1797,760,245,103,98,242,477
594,1242,2461,4336,6064,4247,1419,441,110,169,188,375
823,789,949,1287,1949,1840,845,335,176,170,231,832
1878,3544,6410,7634,4832,2594,893,204,86,58,47,92
199,323,537,683,716,753,567,174,144,97,187,837
2070,4097,6780,6492,3387,1822,469,129,51,43,78,105
227,298,374,384,644,683,343,185,109,123,383,1043
1725,3056,5839,7875,6555,2866,1075,266,58,86,125,145
184,260,476,782,1200,1289,901,362,168,221,423,1140
2053,2267,2859,3338,2578,1486,427,120,49,59,50,149
120,126,150,354,419,656,331,174,83,120,395,1199
1635,1965,2349,1253,655,244,109,59,24,34,30,24
39,52,57,78,83,79,35,28,18,11,27,22
39,70,146,292,494,441,347,225,97,91,98,105
278,384,768,1301,1019,788,267,76,31,39,36,46
